dogoggoruu	stumble	verb			ishe dogoggoruu	she stumbled
doktara	doctor	noun			isheen doktora dha	she is a doctor
dongoraa	hoe	noun			dongoraa fi qoncooraa	hoe and cutlass
doonii	ship	noun			gyddaa doonii	a big ship
dorggommii	race	noun			dorggommii fiigii	run a race
dorgomuu	competition	noun			wal dorgomii kubbaa millaa	football competition
du'a ka'uu	resurrection	noun			du'a ka'uu kirstoosa	the resurrection of Christ
du'uu	die	verb			tapha keessa dardarummaa dhaan du'uu	to die young in the play
dubartii	woman	noun			dubartii bareedduu	a pretty woman
dubartti	female	noun		the gender that has the egg in making offspring	gadamesaa dubartti	female's womb
dubbachuu	speak	verb			dhuugaa dubbachuu	to speak the truth
dubbachuu	talk	verb			baayyee dubbachuuf	to talk too much
dubbisuu	read	verb			kitaaba dubbisuuf	to read a book
dubbisuu	reading	noun			irra deebi'ii dubbisii	repeat the reading
dugda duuba	back	noun		rear or reverse surface of a thing	ittii dugda duuba balbala	the back of the door
duguguruu	joint	noun			dugugura kee diriirsii	stretch your joints
dukkana	dark	adjective			halkan dukkana	dark night
dukkana	darkness	noun			halkan dukkana fidaa	night brings darkness
dulloommaa	old	adjective			sahaanii dulloommaa	old pan
durba	girl	noun			durba dheertuu	tall girl
durbii	nephew	noun			durbii abbaakoo	my father's nephew
dutuu	bark	noun			dutuu icha muka	bark of a tree
duumessa	cloud	noun			duumessa adii	a white cloud
duwaa	empty	adjective			baaldii duwaa	empty bucket
duwwaa	zero	adjective		A number that indicates nothingness; 0	duwwaa irraa hanga sagal	From zero to nine
ebbisu	blessing	noun			ebba waaqayyo	God's blessing
Ebla	April	noun			Ebla bult 30 qaba	April has 30 days
eebbaa	blessing	noun			eebbaa waaqayyoo	God's blessing
eeboo	spear	noun			isaan eeboo dhaan isa waraananii	they pierced him with a spear
eegee	tail	noun			aduree eegee qabdii	a cat has a tail
eeguu	protect	verb			nu eeguu	protect us
eeguu	keep	verb			jijjiiraa eegaa	keep the change
eeguumsa	protection	noun			eeguumsa nakennii	give me protection
eekeraa	ghost	noun			ani eekeraa laalee	I see a ghost
eessaa	where	adverb			eessaa jirtaa?	where do you live?
eeyyama	will	noun			eeyyama waaqaa	God's will
eeyyee	yes	exclamation			ani eeyyeen jedhee	I say yes
elektiriika	electricity	science			chaarjiin bakka tokko iraa gara bakka hara yammuu deemuu elektiriika dha	electricity is when charges go from one place to a new place
elektrooni	electron	science			elektrooni chaarjii -1 qaba	an electron has a charge of -1
ergaa	send	verb			naaf ergii	send me
ergaa	message	noun			yoo ergaa dhaqabee	when the message arrived
ergaa elektronikaa	email	noun			ergaa elektronikaa maxxansii	print the email
ergamaa	messenger	noun			ergamtootaa gahanii jiruu	the messengers arrived
faanoosi	lantern	noun			faanoosi ibsaa	turn on the lantern
fakkii	doll	noun			fakkiikoo	my doll
fal'aana	spoon	noun			fal'aana kudha jaha	sixteen spoons
falaasamaa	philosopher	noun			ishee falaasamaa	she is a philosopher
falmmi	argument	noun			falmmi baayyee	many arguments
farda	horse	noun			farda adii	white horse
farda egduu	groom	noun			hiriyaa farda egduu	groom's friends
fattee	frog	noun			fatteen bishaan jaalat	a frog likes water
fayyaa	health	noun			nyaata fayyaa kenna	food gives health
fayyadamaa	user	noun			fayyadamtootaa meeqaa?	how many users?
fayyuu	heal	verb			dhukubaraa fayyuu	heal disease
fedha	want	verb			ani kitaaboota afur fedhaa	I want four books
fi	and	conjunction			Kofi fi Ama	Kofi and Ama
fi	with	conjunction			Kofi fi Ama	Kofi with Ama
fidoo	jeans	noun			cuquliisa fidoo	blue jeans
fiduu	bring	verb			inni kitaaba fidaa	he will bring a book
fiiguu	run	verb			akka wakkallee fiiguuf	to run like a hare
fiiziiksii	physics	noun		the study of the laws of the universe	nuhi barachuu fiiziiksii	we are learning physics
filaa	comb	noun			mataakee filuuf filaa fayyadamii	use a comb to comb your hair
filmii	film	noun			filmii gaggeessuu	cast of a film
finnisa	pimple	noun			an qabdii finnisa	I have a pimple
firaa	relative	noun			inni firaa dha	he is a relative
fixuu	finish	verb			isaan nyaata ni fixuu	they will finish the food
floorinii	fluorine	science			flooriniin protoonii 9 qaba	fluorine (F) has 9 protons
fo'uu	select	verb		make a selection	kara fo'uu kitaaba	to select a book
focoo	bowl	noun			diimaa focoo	a red bowl
foddaa	window	noun			foddaawwan banaa	open the windows
fokkisaa	ugly	adjective			inni fokkisaa dha	it is ugly
fokkisaa	ugly	adjective			wantichi fokkisaa dha	it is ugly
foolii	fragrance	noun			foolii shiibattar	the fragrance of sheabutter
foon	meat	noun			foon ree'ee	goat meat
foon	flesh	noun			foon fi dhiiga	flesh and blood
foosforasii	phosphorus	science			foosforasiin (P) protoonii 15 qaba	phosphorus (P) has 15 protons
fooxaa	towel	noun			fooxaa jidha	wet towel
fooyya'a	version	noun			fooyya'a kami?	which version?
fudhachuu	accept	verb			fudhachuu ishee	accept her
Fulbaana	September	noun			Fulbaana guyyoota 31 qaba	September has 30 days
funyaan	nose	noun			gurraa fi funyaan	ear and nose
funyoo	string	noun			funyoo fi limmoo	string and needle
furddaa	fat	adjective			maddi furddaa	fat cheeks
furtuu	key	noun			balbala fi furtuu	door and key
fuudhuu	remove	verb			kara fuudhuu kophee irraa asi	to remove the shoes from here
fuudhuu	take	verb			qoricha fuudhuuf	to take medicine
fuula	face	noun			gara fuula koo ilaalii	look at my face
fuula	page	noun			fuula diigdami lama saaqii	open page twenty-two
fuunfachuu	smell	verb			abaaboo fuunfachuuf	to smell the flowers
ga'ilaa	wedding	noun			nuti gara ga'ilaa ni deemnaa	we are going to a wedding
ga'uu	arrive	verb			yoom ati ga'uu bilbiluu ani	when you arrive, call me
gaa'ila	marriage	noun			gaa'ila gaarii	good marriage
gaadisa	shade	noun			ani gaaddisa jala taa'aa jiraa	I am sitting under the shade
gaafa	horn	noun		musical instrument with deep voice	sirba gaafa	horn music
gaafa baasaa	snail	noun			ani gaafa baasaan nyaata.	I eat snails
gaafa baasaa	snail	noun			ani gaafa baasaan nyaadha.	I eat snails
gaafachuu	ask	verb			buna gaafadhuu	to ask Kofi
gaaffii	request	verb			kara gaaffii nyaata	to request food
gaaffii	question	noun			ani gaaffiin qaba	I have a question
gaala	camel	noun			gaala jaha	six camels
gaalooni	gallon	noun			bishaan gaalooni dhaan	a gallon of water
Gaanaa	Ghana	noun		a country in Africa	namnii Gaanaa iraa Gaanaayaan jedhamuu	people from Ghana are called Ghanaians
gaarii	well	noun			bishaan gaarii	well water
gaarii	well	adverb			gaarii hojjadhu	do it well
gaazexessaa	journalist	noun			nuti gaazexessiitoota dha	we are journalists
gabaa	market	noun			gara gabaa deemaa	go to market
gabaabaa	short	adjective			nama gabaabaa	short man
gabaasa	report	noun			gabaasa hojjadhuu	make a report
gabatee cuqoo	keyboard	noun			gabatee cuqoo iraa "k" tuqii	press "k" on the keyboard
gadamesaa	womb	noun			gadamesaa dubartti	female's womb
GaDangme	GaDangme	noun		Ga. A West African people; their language	an dubbachuu GaDangme	I speak GaDangme
gadda	grief	noun			gaddni na ajjeesaa jira	grief is killing me
gadi	down	adverb			gadi deemi	go down
gadoduu	wailing	noun			bohuu fi gadoduu	crying and wailing
