gajaraa	cutlass	noun			gajaraa naa kennii	give me the cutlass
galaanaa	sea	noun			laga gara galaana deema	a river goes into a sea
galata	praise	noun			isheen galata argachu qabdii	she deserves praise
galata	thank	verb			abbaa kee galatefachuuf	to thank your Father
galatoomi	thank you	exclamation			baayyee galatoomi	thank you very much
galchii	goal	noun			qabxii galchii	score a goal
galgala	evening	noun			dhi'aanaa galgala;hirbaata	evening meal; dinner
galgala	nightfall	noun			barii fi galgala	daybreak and nightfall
galmee jechootaa	dictionary	noun			galmee jechootaa fakkii	picture dictionary
gamachuu	happiness	noun			gamachuun gahee	happiness has arrived
gammachu	happy	adjective			har'a gamachuu guya	today is a happy day
gammaduu	exultation	noun			sirba gammadaa	songs of exultation
gammoojji	desert	noun			bishaan gammoojji keessa hirr'ata dha	water is scarce in the desert
gamtoomuu	unite	verb			Afriikaa eeyyama gamtoomuu	Africa will unite
ganama	morning	noun			barii ganama	early morning
ganamoo	early	adverb			ganamoo koottu	come early
ganda	village	noun			an deemi kara ko ganda	I am going to my village
gara	to	preposition			asi gara achi	from here to there
garaacha	stomach	noun			garaacha guddaa	big stomach
garaaja	garage	noun			garaaja konkolaataa	car garage
garafur	rectangle	noun			garafur kofa afur qaba	a rectangle has four angles
garee	group	noun			mee garee haa barbaanuu	let us found a group
gargaarsa	help	verb			ati nama cufa gargaara jirtaa	you are helping everyone
gargaarsa	help	noun			nama cuufa gargaarsa barbaada	everyone needs help
garjaha	hexagon	noun		a polygon with six angles	garjaha kofa jaha qaba	a hexagon has six angles
garshanee	pentagon	noun			garshaneen kofa shan qaba	a pentagon has five angles
garuu	but	conjunction			an like inni,garuu	I like it, but
gateettii	shoulder	noun			dhaabachuu irra koo gateettii	stand on my shoulders
gatii	price	noun			gatiin isaa meeqaa?	how much is the price?
gawisoo	scorpion	noun			gurraacha gawisoo	a black scorpion
Gbe	Gbe	noun			afaan Gbe	Gbe language
geengoo	circle	noun		a circle has an infinite number of angles	geengoota sadi	three circles
geessituu	link	noun			geessituu intarneetii	Internet link
geggeessuu	lead	verb			nu geggeessi	lead us
gidaara	wall	noun			gidaara iraa taa'ii	sit on the wall
giftii	lady	noun			giftii Daansso	Lady Danso
giiftii	queen	noun			isheen giiftii dha	she is a queen
gintii	crab	noun			shorbaa gintii	crab soup
go'aa	artery	noun		arteries carry blood away from the heart	guddaa go'aa	a large artery
goblaa	wing	noun			gugeen goblootaa qabdii	a dove has wings
godaannisa	scar	noun			boqoo ishee godaannisa qaba	her cheek has a scar
godarree	cassava	noun			plaanteeni fi godarree	plantain and cassava
gogaa	skin	noun			goggogaa gogaa	dry skin
goggogaa	dry	adjective			lafa goggogaa	dry land
gogooksuu	dry	verb			wayyaa goggoksuuf	to dry clothes
golfaa	plague	noun			miti golfaa achi	no plagues there
gololee	valley	noun			tilluu fi gololee	hills and valleys
golollee	wheel	noun			ko konkolaataa afur golollee	my car has four wheels
golollee	tyre	noun			golollee mamaramii	roll a tyre
gombisoo	skirt	noun			gabaabaa gombisoo	short skirt
gonfo	hat	noun			inni gonfo keewwataa jiraa	he is wearing a hat
gonfoo	throne	noun			kara taa'uu tokko gonfoo	to sit on a throne
gong gong	gong gong	noun			gong gongi taphadhuu	play the gong gong
goodarree	yam	noun			bilcheessuu goodarree	cook the yam
googaa sa'aa	cowhide	noun			waachee fi googaa sa'aa	waache and cowhide
gootummaa	courage	noun			ishee goota	she has courage
gorsaa	advice	noun			qeesiin gorsaa qaba	a priest has advice
gowoomsuu	trick	noun			gowoomsuu dhiisii	stop the tricks
gowwaa	folly	noun			inni gowwoomaa dha	it is just folly
gowwaa	fool	noun			gowwaa! haadoda	Fool! Dimwit!
graammii	gramme	noun			graammii kudhan	ten grammes
gubaa	fever	noun			ishee qabaachuu gubaa	she has a fever
gubbaa	summit	noun			tulluu gubbaa	mountain summit
guddaa	restaurant	noun			haaraa guddaa	a new restaurant
guddaa	big	adjective			Adaa'ee guddaa	Big Adae
guddina	grow	verb			mucaan guddate	the child has grown
guddina	progress	noun			an ilaaluu guddina	I see progress
gumcuu	stump	noun			gumcuu ichaa muka	stump of a tree
gumgumuu	gossip	noun			gumgumuun garii miti	gossip is not good
gunaa	bribe	noun			inni fedha gunaa	he wants a bribe
Gurandhala	February	noun			Gurandhala bult 28/29 qaba	February has 28 or 29 days
gurda	belt	noun			gurraacha gurda	black belt
gurguruu	sell	verb			mana gurguruuf	to sell houses
gurra	ear	noun			gurra fi funyaan	ear and nose
gurraacha	black	adjective			wayyaa gurraacha	black cloth
gurroo	earpiece	noun			gurroo haraa	new earpiece
gursummaa	widow	noun			isheen gursummaa dha	she is a widow
gursummaa	widower	noun			innii gursummaa dha	he is a widower
gutuu	even	mathadj			2 lakkoofsa gutuu dha	2 is an even number
guutuu	full	adjective			baaldii guutuu	full bucket
guyyaa	date	noun			har'a guyyaa kami?	which date is today?
guyyaa	day	noun			guyyaan gaheeraa	the day has arrived
guyyaa dhalootaa	birthday	noun			har'aa guyyaa dhalootaa koo dha	today is my birthday
haadha	mother	noun			ijoollee haadhakoo obboleeyyan koo dha	my mother's child is my sibling
haadha guddoo	old lady	noun			haadha guddookoo	my old lady
haadha mana	wife	noun			haadha manakoo fi ijooleekoo	my wife and my children
haadoda	inactive	noun			innii haadoda dha	he is inactive
haaduu	knife	noun			haaduu qaraa	sharpen a knife
haafa	junk	noun			haafaan kutaa kessaa jira	there is junk in the room
haafura	breath	noun			haafura kee fuudhuu; boqqodhuu	collect your breath; rest
haantuuta	mouse	noun			haantuuta guuddaa	a big mouse
haaraa	new	adjective			warra haaraa	new family
haarataa	broom	noun			haarataa fi xuuriingatamaa kan itti haaramuu	broom and dustpan
haatuu	steal	verb			haatuu fi barbaddeesuu	steal and destroy
Haawusaa	Hausa	noun			afaan Haawusaa	Hausa language
haawwii	covetuousness	noun			haawiin gaarii miti	covetuousness is not good
haaydrojjini	hydrogen	noun			konkolaataa haaydrojjini	hydrogen car
haayidrojinii	hydrogen	science			haayidrojinii (H) protoonii 1 qaba	hydrogen (H) has 1 proton
habaaba	watermelon	noun			nyaachuu iti habaaba	eat the watermelon
hacucuu	oppression	noun			hacucuu kana	such oppression!
hadhaa	bitter	adjective			qoricha hadhaa	bitter medicine
hafuraa	oxygen	noun			hafuraa qilleensa keessaa dha	oxygen is in air
Hagayya	August	noun			Hagayya bult 31 qaba	August has 31 days
hagicha	verandah	noun			hayyamuu deemi kara itti hagicha	let's go to the verandah
halkan	night	noun			halkan keessa sa'aa 8	8 o'clock in the night
halluu	ink	noun			halluu qalamaa kessaa	ink in a pen
hammaa	until	preposition			hammaa nuhi quunamuu ammas	until we meet again
hammenya	evil	noun			hammenya kami kun?	which evil is this?
handaaqqoo	chicken	noun			fooni handaaqqoo	chicken meat
hankaassa	abortion	noun			iti doktara hojjechuu hankaassa	the doctor performs abortion
hantuuta	mouse	science			komputara haantuuta	computer mouse
hantuuta	rat	noun			hantuuta guddaa	a big rat
haqa	justice	noun			bilisummaa fi haqa	freedom and justice
haquu	cancel	verb			haquu icha walgahii	cancel the meeting
har'a	today	adverb			ishiin har'a gessee	she arrives today
harakaan ga'uu	delivery	noun			harakaan ga'uu	the delivery has arrived
hardidiidoo	zebra	noun			torba hardidiidoo	seven zebras
harka	hand	noun			harka keessanolkaa	lift up your hand
harkaan ga'uu	deliver	verb		send to someone	harkaan ga'uu maallaqa kara ani	deliver money to me
harkisuu	pull	verb			wadaroo harkisuuf	to pull the rope
harma	breast	noun			annan harma	breast milk
haromaa	revival	noun			haromaan gara magaalaa dhufee	revival has come to town 
haroo	lake	noun			haroon iraa dangala'eeraa	the lake has overflowed
hattu	burglary	noun			hattun dabalaa jiraa	burglary is increasing
hattuu	thief	noun			ini hattuu miti	he is not a thief
haxxifachuu	sneeze	verb			sagalee guuddaadhaan haxxifachuuf	to sneeze loudly
hayyamuu	let	verb			garee barbaaduf haa hayyamnuu	let us found a group
heddommeeysa	multiplication	noun			2 x 1=2; kun heddommeeysa dha	2 x 1 = 2; this is multiplication
heegaree	future	noun			ani mijjuu argee heegareekee	I see luxury in your future
heerumuu	marry	verb			ana naheerumii	marry me
helmeeti	headgear	noun			helmeeti kewwadhuu	put on headgear
herreega	mathematics	noun			isheen herreega barsiisti	she teaches mathematics
hidda dhiigaa	vein	noun			dhiignii hidda dhiigaa keessa darbaa	blood passes through veins
hidhaa	jail	noun			gara hidhaa deemi	go to jail
hidhii	lip	noun			hidhii diimaa	red lips
hiibboo	puzzle	noun			wanta rakkissa fi hiibboo	puzzles and riddles
hiibboo	riddle	noun			hiibboo fi hiibboo	puzzles and riddles
hiliiyamii	helium	science			hiliiyamiin (He) protoonii 2 qaba	helium (He) has 2 protons
himaa	sentence	noun			himaa hojjachuuf jechoota wal qabsiisuu	words join to make sentences
himuu	tell	verb			ini seenaa himaa jiraa	he is telling the story
hiriyaa	friend	noun			hiriyaa koo	my friend
hirqinfuu	hiccups	noun			inni hirqinfaa qabame	he has got the hiccups
hirrina	scarcity	noun			hirrina bishaan	scarcity of water
hiruu	division	noun			2/1=2; kun hiruu dha	2/1 = 2; this is division
hiruu	divide	verb		separate into parts	hiruu itii daabboo	divide the bread
hiyyeessa	indigent	noun			hiyyeessan homaa hinqabu	an indigent has nothing
hiyyumma	poverty	noun			hiyyumma yookiin qabeenya	poverty or wealth
hojii gidiraa	sabotage	noun			kun hojii gidiraa dha	this is sabotage
hojjaa	width	noun			dalgeeta fi hojjaa	height and width
hojjaa gaarii	well done	exclamation			hojjaan gaariin hojjattame	job well done!
hojjachuu	work	noun			ani hojjachuun barbaadaa nan godhaa	I want work I would do
hojjachuu	working	noun			hojjachuun salphaa miti	working is not trivial
hojjattootaa	staff	noun			hojjattootaa mooti	the king's staff
hojjechuu	do	verb		to make	isheen wanta tokko hojechaa jirttii	she is doing something
hojjetamee	project	noun			kudhan hojjetamee	ten projects
homaa	nothing	noun			ani homaa hinqabu	I have nothing
hoogana	grease	noun			hoogana distii keessa	grease in a pan
hooganaa	leader	noun		someone who shows the way	inni hooganaa kenyaa dha	this is our leader
hoolaa	sheep	noun			hoolaa foon	sheep meat (i.e. mutton)
hoqisaa	vomit	noun			hoqisaa saree	dog's vomit
hospiitaala	hospital	noun			gara hospiitaala deemi	go to a hospital
hoteela	hotel	noun			isheen  hoteela keessaa raftee	she sleeps at a hotel
hubachuu	understand	verb			wantatokko haala gaaridhaan hubachuuf	to understand something very well
hudduu	bum	noun			hudduu guddaa	large bum
hudduu	buttocks	noun			hudduu guddaa	big buttocks
humna	power	noun			cimina fi humna	strength and power
hundeesaa	foundation	noun			hundeesaa mana	foundation of the house
hurgufuu	shake	verb			dadhabbina hurgufuuf	to shake the tiredness off
hurrii	mist	noun			hurrii ganama	morning mist
huubbo	jar	noun			huubbo torba	seven jars
huutuu	tap	noun			huutuu banii	open the tap
ibidda	fire	noun			ibidda ibsaa	light the fire
iboolaa	ebola	noun			iboolaan dhukkuba dha	ebola is a disease
icha	the	determiner			mana icha	the house
ida'aa	addition	noun			1 + 1 = 2; kun ida'aa dha	1 + 1 = 2; this is addition
iddo baqannoo	refuge	noun			iddo baqannoo koo	our refuge
iddoo	place	noun			iddoo kam?	which place?
ifaa	light	noun			ifaa samii	light of the sky
Igboo	Igbo	noun			afaan Igboo	Igbo language
ija	eye	noun			ijaa fi nyaara	eye and eyebrow
ija-laafeessumaa	shyness	noun			ini ija-laafeessumaa hin qabu	he has no shyness
ijaaruu	build	verb			mana ijaaruu	build a house
ijoollee	child	noun			ijoollee haadhakoo obboleeyyan koo dha	my mother's child is my sibling
ilaalchaa	spectator	noun			ilaalchootaa	the spectators
ilaaluu	watch	verb			kara ilaaluu gimboola	to watch football
ilaaluu	see	verb			eekeraa ilaaluuf	to see ghosts
ilbisa	insect	noun			bararin ilbisa dha	a cockroach is an insect
ilkaan	tooth	noun			ilkaan adii	white tooth
ilkaan arba	ivory	noun			looti mormaa ilkaan arba	ivory necklace
ilkoo	saw	noun			itti anaaxii ilkoo	the carpenter's saw
illeettii	rabbit	noun			adii illeettii	a white rabbit
ilma	son	noun		male child	ilmakoo	my son
ilma	boy	noun			ilmii as jiraa	the boy is here
ilmanamaa	humankind	noun			nuti ilmanamaatii	we are humankind
ilmoo moyyee	pestle	noun			ilmoo moyyee fi moyyee	pestle and mortar
imimmaan	tear	noun			ija koo imimmaan dhaan guutee	my eyes filled with tears
inddiigoo	indigo	adjective			wayyaa inddiigoo	indigo cloth
Ingliiffaa	English	noun			ani Ingliffaa dubbadhaa	I speak English
injifannoo	victory	noun			injjifannoo fi mo'amuu	victory and defeat
injiinara	engineer	noun			injiinara meeshaa tolchaa	an engineer makes tools
injiree	louse	noun			hinjiraan handaaqqoo	chicken lice
inni	he	pronoun		used to indicate one male person previously mentioned	inni nyaate	he eats
inni	it	pronoun		subject pronoun for non-humans	inni kufee	it falls
intala	daughter	noun		female child	intala koo	my daughter
intala obboleeytiikoo yookiin obboleeysaakoo	niece	noun			intala obboleeytiikoo yookiin obboleeysaakoo	my nieces
intarneetii	internet	noun			geessituu intarneetii	internet link
iraanfachuu	forgetfulness	noun			iraanfachuu ishee	her forgetfulness
irraa	from	preposition			asi irraa deemaa	go from here
irraa	from	preposition			asirraa deemi	go from here
irree	arm	noun			irree kee ol kaasii	lift up your arm
irreechaa	thanksgiving	noun			tajaajila irreechaa	thanksgiving service
isa	him	pronoun			isa argisiisii	show him
isaa	his	possessive			mana isaa	his house
isaa	its	possessive			mana isaa	its house
isaan	they	pronoun		used to indicate people, or things, previously mentioned	isaan nyaatanii	they eat
isaan	them	pronoun			isaan argisiisii	show them
ishee	her	possessive			mana ishee	her house
ishee	its	possessive		singular possessive pronoun for neuter gender objects	mana ishee	its house
ishee	she	pronoun		used to indicate one female person previously mentioned	isheen nyaattee	she eats
ishee	her	pronoun			ishee argisiisii	show her
ishee	it	pronoun		subject pronoun for non-humans	isheen kufttee	it falls
isiin	yous	pronoun		Also written as "you". second person plural subject. Used to indicate people being addressed.	isiin nyaadhaa	yous eat
Islaama	Islam	noun			Kiristaana fi Islaama	Christianity and Islam
Islaama	muslim	noun			Kiristaana fi Islaama	a Christian and a Muslim
itti dhihaachuu	approach	verb			kara itti dhihaachuu arifataan	to approach quickly
itti gaafatamumaa	responsibility	noun			inni itti gaafatamumaa kee dha	it is your responsibility
itti gaafatamumaa	spokesperson	noun			itti gaafatamumaa shumii	the chieftain's spokesperson
iyyataa	application	noun			jiruu iyyataa	job application
iyyuu	shout	verb			gargaarsaaf iyyuu	to shout for help
jaafoo	giant	noun			afur jaafoo	four giants
jaalala	love	noun			jaalala fi nagaa	love and peace
jaalala	love	verb			ani si jaaladhaa	I love you
jaalalleekoo	sweetheart	noun			inni ko jaalallekoo	he is my sweetheart
jaalatamaa	lover	noun			jaalatamaa koo na gowwomsiitee	my lover has tricked me
jaarraa	century	noun			icha jaarraa	this century
jaarsa	old man	noun			inni jaarsa dha	he is an old man
jabaa	brave	adjective			nama jabaa	brave man
jabaa	hard	adjective			jabaa dha	it is hard
jaha	six	adjective		The number 6	xarmuushii jaha	six bottles
jahataama	sixty	adjective		the number 60	xarmuushii jahaatama	sixty bottles
jajabessa	encouragement	noun			jajabessa fi gammchuu	encouragement and joy
jajjabeessuu	encourage	verb			jajjabessa ishee	encourage her
jaldeessaa	monkey	noun			jaldeessaan muuzii jaalataa	a monkey likes bananas
jalqaba	start	verb			dursaa jalqabuuf	to start early
jecha	word	noun			ani jechootaa 100 beekaa	I know 100 words
jecha darbaa	password	noun			jecha darbaa Jijjiirii	change password
jedhuu	say	verb			ani eeyyee jedhee	I say yes
jeequumsa	noise	noun			jeequumsa dhaabaa	stop making noise
ji'a	moon	noun			ji'aa fi urjiiwwan	moon and stars
ji'a	month	noun			ji'a tokko	one month
jibba	hatred	noun			jibba qoricha hin qabu	hatred has no cure
jibbuu	hate	verb			dhibooftuumaa jibbuuf	to hate laziness
jidha	wet	adjective			kunbula jidha	wet blanket
jijjiiruu	change	noun			jijjiiraa qabdaa?	do you have change?
jilba	knee	noun			jilba koo	my knees
Jimaata	Friday	noun			Ijoollee Jimaataa	Friday children
jiraachuu	live	verb			nuti asi jirraa	we live here
jireenya	life	noun			jireenya kee gaariitti jiraadhuu	live your life well
jiruu	job	noun			an barbaaduu jiruu	I need a job
jolloof	jollof	noun			jolloofi nyaata dha	jollof is food
jooniyaa	sack	noun			jooniyaa cilee	sack of charcoal
ka'uu	rise	verb			qeereensaa yo ka'ee	if a tiger rises
kaakawaa	cocoa	noun			muka kaakawaa	cocoa tree
kaalshiyamii	calcium	science			kaalshiyamii (Ca) protoonii 20 qaba	calcium (Ca) has 20 protons
kaameraa	camera	noun			lensii kaameraa	lens of a camera
Kaameruun	Cameroon	noun		A country in Africa	gara Kaameruun deemaa	go to Cameroon
kaarbonii	carbon	science			kaarboni (C) protoonii 6 qaba	carbon (C) has 6 protons
kaarotii	carrot	noun			afur kaaroti	four carrots
kabaja	respect	noun			kabaja argisiisii	show respect
kaballa	blow	noun			kaballa isaaf kenni	give him a blow
kadhachuu	pray	verb			kara galata ko kadhachuu	to pray for my enemies
kadhata	prayer	noun			kadhachun gaarii dha	prayer is good
kafaltii	fees	noun			kafaltii mana barumsaa	school fees
kaffaluu	pay	verb			an eeyyama kaffaluu	I will pay
kakuu	oath	noun			kakuu guddaa	great oath
kalee	yesterday	adverb			ishiin kalee gessee	she arrived yesterday
kalee	kidney	noun			adureen kalee qabdii	a cat has a kidney
kaleendara	calendar	noun			haaraa kaleendara	a new calendar
kaloo	backyard	noun			kaloon baayyee margee	the backyard is overgrown
kam	which	determiner			kam ijoollee	which child?
Kamisa	Thursday	noun			ijoollee Kamisa	Thursday children
kan Afriikaa	African	noun			ani kan Afriikaatii	I am an African
kan isaanii	their	possessive			mana isaanii	their house
kanniisa	bee	noun			kanniisa baayyee	many bees
kara	to	preposition			asirraa kara achi	from here to there
karaa	street	noun			haaraa karaa	new street
karaa	way	noun			karaan	the way
karabaataa	tie	noun		a necktie	karabaataan morma isaa iraati hidhamee raa	the tie hangs on his neck
kashalabumaa	deception	noun			kashalabumaa fi badii	deception and discord
kee	your	possessive		2nd person singular possessive pronoun	mana kee	your house
keekii	cake	noun			nuhi eeyyama nyaachuu keekii	we will eat the cake
keemistrii	chemistry	noun			nuhi barachuu keemistrii	we learned chemistry
keenya	our	possessive			mana keenya	our house
keessan	yours	possessive		2nd person plural possessive pronoun; commonly written as 'your'	mana keessan	your house
keessummaa	guest	noun			ani keessummaa dha	I am a guest
kennaa	gift	noun			kennaa gaarii	a good gift
kennuu	give	verb			isaaf bishaan kennii	give the water to him
kennuu	supply	noun			gaafachuu fi kennuu	demand and supply
Kenyaa	Kenya	noun		A country in Africa	gara Kenyaa deemaa	go to Kenya
kerosiinii	kerosene	noun			xarmuushii kerosiinii	bottle of kerosene
khaakhii	khakhi	noun			bolee khaakhii	khakhi shorts
khabaab	khebab	noun			khabaaboota fi biiraa	khebabs and beer
Kibxata	Tuesday	noun			ijoollee Kibxata	Tuesday children
kiisii	pocket	noun			kiisiikoo keessa homtuu hinjiruu	nothing inside my pocket
kiloometira	kilometre	noun			kiloometira kudhan	ten kilometres
kiristaana	Christian	noun			kiristaana fi musliima	a Christian and a Muslim
kitaaba	book	noun			kitaaba kun	this book
klorinii	chlorine	science			klorinii (Cl) protoonii 17 qaba	chlorine (Cl) has 17 protons
ko	my	possessive			mana ko	my house
kofa	angle	noun		the length of turn between two straight lines that meet	kofa lama	two angles
kolfuu	laugh	verb			Inni kolfaa jira	he is laughing
komputara	computer	noun			gabatee cuqoo komputara	computer keyboard
Konggoo	Congo	noun			gara Konggoo	go to Congo
konkolaataa	car	noun			konkolaataa oofii	drive a car
konkoolaata fe'isaa	lorry	noun			konkoolaata fe'isaa dhaabii	lorry stop
koomee	heel	noun			quba miillaa fi koomee	toe and heel
kootii	coat	noun			ishee uffachuu kootii	she is putting on a coat
kophee	shoe	noun		footwear that covers all of the foot	kophee kee isa qabdu kee'wadhu	wear your shoes
koree	bell	noun			mana barumsa koree	school bell
koroora	plan	verb			tokko mataa koroora	one head does not plan
koruu	mate	verb			bineensotaa koraa jiranii	the animals are mating
kosii	rubbish	noun			kosii darbadhuu	throw away the rubbish
kosii	trash	noun			kosii darbadhuu	throw away the trash
Kotdiivwaar	Cote d'Ivoire	noun			gara Kotdiivwaar deemaa	go to Cote d'Ivoire
kubba miilaa	soccer	noun			dorggommii kubba miilaa	football competition
kubbaa	ball	noun			tapha kubbaa	play ball
kubbaa ijaa	eyeball	noun			ijaa fi kubbaa ijaa	eye and eyeball
kubbaayyaa	cup	noun			kubbaayyaa shaayii	tea cup
kudha afur	fourteen	adjective		the number 14	xarmuushii kudha afur	fourteen bottles
kudha jaha	sixteen	adjective		the number 16	xarmuushii kudha jaha	sixteen bottles
kudha lama	twelve	adjective		the number 12	xarmuushii kudha lama	twelve bottles
kudha saddeet	eighteen	adjective		the number 18	xarmuushii kudha saddeet	eighteen bottles
kudha sadi	thirteen	adjective		the number 13	xarmuushii kudha sadi	thirteen bottles
kudha sagal	nineteen	adjective		the number 19	xarmuushii kudha sagal	nineteen bottles
kudha shan	fifteen	adjective		the number 15	xarmuushii kudha shan	fifteen bottles
kudha tokko	eleven	adjective		the number 11	xarmuushii kudha tokko	eleven bottles
kudha torba	seventeen	adjective		the number 17	xarmuushii kudha torba	seventeen bottles
kudhan	ten	adjective		the number 10	xarmuushii kudhan	ten bottles
kudhuuraa	fruit	noun			kudhuuraa luqqisa	pluck fruit
kuduraa qabu	pizza	noun			shan kuduraa qabu	five pizzas
kufuu	fall	verb		move downward	haadan sooraaraa kufee	a rope fell from the roof of the house
kuma	thousand	adjective		the number 1000	xarmuushii kuma	thousand bottles
kusaa kosii	dustpan	noun			harataa fi kusaa kosii	broom and dustpan
kutaa	class	noun		academic stage in a school	inni barechuu kutaa lema	he is in class 2
kutaa	room	noun			isheen kutaa kessaa rafaa jirtti	she is sleeping in the room
kutaa dhiqannaa	bathroom	noun			gara kutaa dhiqannaa deemi	go to the bathroom
kutaa siree	bedroom	noun			manicha kutaa siree qaba	the house has two bedrooms
kuutaa jirenyaa	hall	noun			nuhi kuutaa jirenyaa keessa taa'aa jirraa	we are sitting in the hall
laaboraatoorii	laboratory	noun		also 'lab'	hospiitaala laaboraatoorii	hospital laboratory
laafaa	soft	adjective			daabboo laafaa	soft bread
labsa	proclamation	noun			labsa mirga dhala namaa	proclamation of the rights of humankind
lafa	land	noun			lafa bitaa	buy land
lafa	land	verb		to touch down	xiyyaaran lafa gahee	the aeroplane has landed
lafa qonna	farm	noun			lafa qonna kokowaa	cocoa farm
lafee	bone	noun			harka koo lafee qaba	my hand has bones
lafoo	pedestrian	noun			sagal lafoo	nine pedestrians
laga	river	noun			laga gara galaana deema	a river goes into a sea
laga	brook	noun			kara dhuguu irraa iti laga	to drink from the brook
lakate	wrist	noun			lakatee ishee qabi	hold her wrist
lakkaa'uu	count	verb			lakkaa'uu maallaqa	count money
lakkaawuu	computing	noun			komputara ni lakkaawaa	a computer does computing
lakkoofsa	number	noun			lakkoofsa 5	number 5
lama	two	adjective			gidaara irratti xarmuushii lama ni jiruu	There are two bottles on the wall
lammii	citizen	noun		a member of a country community	ani lammii dha	I am a citizen
laphee	chest	noun			dabbassa laphee	chest hair
leenca	lion	noun			leenci foon nyaataa	a lion eats flesh
leenjisa	coach	noun			leenjisa garee kuubbaa miillaa	a football team coach
leensii	lens	noun			leensii kameraa	lens of a camera
lidii	lead	science			lidii (Pb) protoonii 82 qaba	lead (Pb) has 82 protons
limmoo	needle	noun			wadaroo fi limmoo	string and needle
limmoo warraanachu	injection	noun			limmoo warraanachun ni dhukkubsaa	an injection is painful
liqeeffachuu	borrow	verb			liqeeffachuu maallaqa	borrow money
liqeessuu	lend	verb			liqeessuu ani kun kitaaba	lend me this book
liqii	loan	noun			ani liqii barbaadaa	I need a loan
liqii	debt	noun			Inni liqii baayyee qaba	he has many debts
liqimfama	sink	noun			kan liqimfame yaasa	drain the sink
liziiyamii	lithium	science			liziiyamiin (Li) protoonii 3 qaba	lithium (Li) has 3 protons
lolaa	battle	noun			nuhi ni lolaa	we are going to battle
lollaa	quarrel	noun			lollaa guddaa	a big quarrel
loltootaa	warriors	noun			loltootaan dhufaa jiruu	the warriors are coming
loltuu	warrior	noun			loltuu bara duri	warrior of antiquity
loltuu	soldier	noun			loltuun bakka dhaabbatanitii deema jiruu	the soldiers are marching
lomii	lime	noun			juusii lomii	lime juice
looga	favouritism	noun			looga dhaabii	stop the favouritism
looti morma	necklace	noun			looti mormaa ilkaan arba	ivory necklace
lootuu	lizard	noun			lootuun marga nyaataa	a lizard eats grass
lubbuu	soul	noun			lubbuu koo gammaddee	my soul exults
luqqifata	shell	noun			luqqifata ginxxii	shell of a crab
Luugaandaa	Luganda	noun			Afaan Luugaandaa	Luganda language
luukuu kormaa	cockerel	noun			luukuu kormaan iyyee	a cockerel is crowing
Luwo	Luwo	noun		modern written form of the Acholi and Dholuo language	An Luwo dubbusuu ni danda'a	I can read Luwo
luxxee	melon	noun			magarrisa luxxee	green melon
maagnizhiiyamii	magnesium	science			maagnizhiiyamiin (Mg) protoonii 12 qaba	magnesium (Mg) has 12 protons
maal	what	pronoun			maal sana?	what is that?
maaliif	why	adverb			kanaafuu maaliif?	why so?
maallaqa	money	noun			maallaqa nigargaarsa	money helps
maangoo	mango	noun			maangoon bilchaateeraa	the mango has ripened
maappii	map	noun			maappii dubbisii	read the map
maashinii	machine	noun			maashinii haaraa	new machine
maastari	master	noun			Maastari Koofii	Master Kofi
maati	family	noun			maati haarawa	new family
madaa	sore	noun			sareen madaa isaa arraabaa jiraa	the dog is licking its sore
magaala	brown	adjective			shimbiirroo magaala	brown bird
magaalaa	town	noun			gara magaalaa deemi	go into town
magaalaa guddaa	capital	noun			accra itti magaalaa guddaa	Accra is the capital of Ghana
magarrisa	green	adjective			baala magarrisa	green leaf
makmaaksa	fable	noun			namni makmaaksota dhaan hin amanuu	one does not believe fables
malaa	boil	noun			malaan laalatuu dha	a boil is painful
Malaagaasii	Malagasy	noun		a language of Madagascar	afaan Malaagaasii	Malagasy language
mallaqa	cash	noun			an qabdii mallaqa	I have cash
mallattoo	sign	noun			mallattoo abdii	a sign of hope
mallattoo	symbol	noun			mallattoo humna	symbol of power
mana	house	noun			manicha	the house
mana	home	noun			mana kee	your home
mana barumsa	school	noun		a place where learning happens	ani mana barumsa akka dubbisuu baradheeraa	I learn to read at school
mana bashannana	party	noun			ani mana bashannana nideema	I am going to a party
mana fincaanii	toilet	noun			gara mana fincaanii deemii	go to the toilet
mana hidhaa	prison	noun			gara mana hidhaa deemii	go to prison
mana keessummaa	lodge	noun			yeroo xiqqoo dhaan bakka mana keessummaa turii	stay at the lodging for a while
mana murtii	court	noun			mana murtii deemaa	I am going to court
mana poostaa	post office	noun			ani mana poostaa deema	I am going to the post office
manduubbee	garden	noun			keenya manduubbee	our garden
mangoo	odd	mathadj			tooko lammii mangoo lakkoofsa	1 is an odd number
mankitaabaa	library	noun			nuhi eeyyama deemi kara icha mankitaabaa	we will go to the library
mankuusa	store	noun			an eeyyama bituu nyaata irraa mankuusa	I will buy food from the store
maqaa	name	noun			maqaa koo	my name
maqasa	scissors	noun			maqasa naaf kennii	give me the scissors
marga	grass	noun			sa'aan marga alanfatii	a cow chews grass
marqaa	porridge	noun			marqaa dagujaa	millet porridge
marraa	bag	noun			argii gara marraa	look at the bag
mashakaa	padlock	noun			mashakaa fi furtuu	padlock and key
mata duree	heading	noun			mata duree kitaaba	book headings
mata duree	title	noun			"Jabaa Tokko" mata duree dha	"Mighty One" is a title
mataa	head	noun			mataa gudddaa kee	your big head
