_	a	determiner			lehilahy sy vehivavy	a man and a woman
horonantsary	video	noun			jereo ny horonantsary	watch the video
hosoka	falsification	noun			lainga sy hosoka	lies and falsifications
hozatra	joint	noun			henjano ny hozatrao	stretch your joints
hydrozena	hydrogen	noun			fiara mandeha @ hydrozena	hydrogen car
ianao	you	pronoun		second person singular subject pronoun. Used to indicate one person being addressed	mihinana ianao	you eat
ianareo	yous	pronoun		Also written as "you". second person plural subject. Used to indicate people being addressed.	mihinana ianareo	yous eat
Igbo	Igbo	noun			fiteny Igbo	Igbo language
ihany	self	noun			izaho ihany; ianao ihany	myself, yourself
imasom-bahoaka	public	noun			tsy azonao lazaina imasom-bahoaka ny teny hoe "lalan-jaza"	you don't say 'vagina' in public
injeniera	engineer	noun			manamboatra fitaovana ny injeniera	an engineer makes tools
inona	what	pronoun			inona izany?	what is that?
io	it	pronoun		object pronoun used to refer to an impersonal thing	vonoinareo io	you (pl) kill it!
iraika ambin'ny folo	eleven	adjective		the number 11	tavoahangy iraika ambin'ny folo	eleven bottles
iray	one	adjective			misy tavoahangy iray mijoro eo  antampon'ilay trano	There is one bottle standing on top of the house
isa	number	noun			isa 5	number 5
isika	we	pronoun		used to indicate oneself and others	mihinana isika	we eat
ivelany	abroad	noun			mandeha any ivelany izy	she goes abroad
ivoara	ivory	noun			rojo ivoara	ivory necklace
iza	who	pronoun			iza izy?	who is he?
izahay		pronoun			mihinana izahay	
izaho	me	pronoun			izaho sy ianao	me and you
izy	she	pronoun		used to indicate one female person previously mentioned	misakafo izy	she eats
izy	he	pronoun		used to indicate one male person previously mentioned	mihinana izy	he eats
izy ireo	their	possessive			ny tranon'izy ireo	their house
izy ireo	they	pronoun		used to indicate people, or things, previously mentioned	mihinana izy ireo	they eat
Janoary	January	noun			misy 31 andro ny volana Janoary	January has 31 days
jereo	look	verb			jereo ilay zazalahy	look at the boy
Jiona	June	noun			misy 30 andro ny volana Jiona	June has 30 days
jiro	light	noun			jiron'ny lanitra	light of the sky
jiro	lantern	noun			areheto ny jiro	turn on the lantern
Jolay	July	noun			31 andro ny volana Jolay	July has 31 days
kafe	coffee	noun			misotro kafe izy	she drinks coffee
kakao	cocoa	noun			hazo kakao	cocoa tree
kalalao	cockroach	noun		also known as a roach (American English)	nahita kalalao aho	I see a cockroach
kalsioma	calcium	science			misy protona 20 ny Kalsioma (Ca)	calcium (Ca) has 20 protons
Kamerun	Cameroon	noun		A country in Africa	mandehana any Kamerun	go to Cameroon
kankana	worm	noun			ho aiza ianao ry kankana	worm, where are you going?
kaontinanta	continent	noun			kaontinanta Afrikana	African continent
kaopy	cup	noun			kaopy fisotroana dite	tea cup
karaoty	carrot	noun			karaoty efatra	four carrots
karavato	tie	noun		a necktie	mihantona eo amin'ny tendany ny karavato	the tie hangs on his neck
karbona	carbon	science			misy protona 6 ny karbona (C)	carbon (C) has 6 protons
karipetra	carpet	noun			karipetra	new carpet
karipetra	carpet	noun			karipetra vaovao	new carpet
katsaka	corn	noun			katsaka sy voanjo	corn and groundnuts
kay	ouch	exclamation			kay! marary izany	Ouch! It hurts
kebaba	khebab	noun			kebaba sy labiera	khebabs and beer
kely	little	noun			tsara ny kely noho ny tsy misy	a little is better than nothing
kely, madinika	small	adjective			zavatra kely, madinika	a small thing
Kenya	Kenya	noun		A country in Africa	mandehana any Kenya	go to Kenya
kibo	womb	noun			kibon'ny vehivavy	female's womb
kifafa	broomstick	noun			kifafa folo	ten broomsticks
kifafa	broom	noun			kifafa sy fandraofam-pako	broom and dustpan
kilasy	class	noun		academic stage in a school	ao amin'ny kilasy faharoa izy	he is in class 2
kilometatra	kilometre	noun			folo kilometatra	ten kilometres
kintana	moon	noun			volana sy kintana	moon and stars
kintana	star	noun			kintana marobe	plenty of stars
kiraro	shoe	noun		footwear that covers all of the foot	anaovy ny kiraronao	wear your shoes
kiririoka	whistle	noun			tsofy ny kiririoka	play the whistle
kisoa	pig	noun			mavokely ny kisoa sasany	some pigs are pink
kitapo	sack	noun			foana ny ao anaty kitapoko	nothing inside my sack
kitay	stick	noun			tapaho ny kitay	break the stick
kitay	firewood	noun			makà kitay	pickup firewood
klora	chlorine	science			misy protona 17 ao amin'ny klora (Cl)	chlorine (Cl) has 17 protons
ko	my	possessive			ny trano ko	my house
kodiarana	wheel	noun			manana kodiarana efatra ny fiarako	my car has four wheels
kodiarana	tyre	noun			ahodino ny kodiarana	roll a tyre
kofehy	string	noun			kofehy sy fanjaitra	string and needle
kolikoly	bribe	noun			mitady kolikoly izy	he wants a bribe
labiera	beer	noun			misotro labiera izahay	we are drinking beer
lafarinina	flour	noun			lafarinina katsaka	corn flour
lafo	expensive	adjective			lafo io	it is expensive
lafovidy	luxury	noun			mahita  ny ho avinao  lafovidy	I see luxury in your future
lahy	male	noun			lahy i Mandela	Mandela is male
lahy antitra	old man	noun			lahy antitra izy	he is an old man
lainga	lie	noun			lainga izany	it is a lie
laisoa	cabbage	noun		a leafy vegetable	laisoa sy tavinkena	cabbage stew
laisoa	cabbage	noun		a leafy vegetable	ron-daisoa	cabbage stew
lakana	canoe	noun			lakana sy fivoy	canoe and paddle
lakolosy	bell	noun			lakolosin'ny sekoly	school bell
lakozia	kitchen	noun			ato an-dakozia aho	I am in the kitchen
lalan-jaza	vagina	noun			tsy miteny 'lalan-jaza' eny imasom-bahoaka	you don't say 'vagina' in public
lalàna	law	noun		rules by the government	milaza ny lalàna	the law says
lalàna	rule	noun			manaraka lalàna izy	she follows the rules
lalana	way	noun			ny lalana	the way
lalana	street	noun			lalana vaovao	new street
lalandrà	artery	noun		arteries carry blood away from the heart	lalandrà vaventy	a large artery
lalandra	vein	noun			mandalo lalandra ny ra	blood passes through veins
lalao	game	noun			milalaova ny lalao	play a game
lalitra	housefly	noun			mitondra aretina ny lalitra	a housefly can carry disease
lalitra	blowfly	noun			manorisory ny lalitra	blowflies are annoying
lalitra	fly	noun			manidina ny lalitra	a fly flies
lalomena	hippopotamus	noun		also called a hippo	manana vavony lehibe ny lalomena	a hippopotamus has a big stomach
lanitra	sky	noun			maidina eny amin'ny lanitra	to fly into the sky
lanja	weight	noun			lanja mavesatra	a heavy weight
lanja	mass	science			afaka ovainao ho hery ny lanja	you can change mass into energy
laona	pestle	noun			laona sy fanoto	pestle and mortar
laona	mortar	noun			fanoto sy laona	pestle and mortar
lapoaly	pan	noun			lapoaly tranainy	old pan
lasopy	soup	noun			lasopy voanjo	palm nut soup
latabatra	table	noun			seza sy latabatra	chair and table
lavadrano	sink	noun			ritina ny lavadrano	drain the sink
lavaka	hole	noun			lavaka kely	small hole
lavaka	pit	noun			mihadia lavaka	dig a pit
lavenona	ash	noun			arina sy lavenona	charcoal and ashes
lehibe	big	adjective			Adae lehibe	Big Adae
lehilahy	man	noun			lehilahy ranjanana	a tall man
lehilahy hanambady	groom	noun			naman'ny lehilahy hanambady	groom's friends
lehilahy hanambady	bride	noun			ny vadin'ny vehivavy hanambady, lehilahy hanambady	bride's husband; groom
lelavola	cash	noun			manana lelavola aho	I have cash
lena	wet	adjective			bodofotsy lena	wet blanket
leopara	leopard	noun			misy rambo ny leopara	a leopard has a tail
liona	lion	noun			mihinana nofo ny liona	a lion eats flesh
litioma	lithium	science			misy protona 3 ny litioma (Li)	lithium (Li) has 3 protons
lo	rot	verb			lo ny manga	the mango is rotting
lo	vomit	noun			lon' alika	dog's vomit
lo	rot	verb			lo ilay manga	the mango is rotting
lobaka	shirt	noun			manao lobaka izy	she is wearing a shirt
lobolobo	bush	noun			mandehana any amin'ny lobolobo	go into the bush
loha	head	noun			ny loha be anao	your big head
lohalika	knee	noun			ny lohaliko	my knees
lohasaha	valley	noun			havoana sy lohasaha	hills and valleys
lohateny	title	noun			lohateny ny "Mighty One"	"Mighty One" is a title
lohateny	heading	noun			lohatenin'ny boky	book headings
lolo	butterfly	noun			ny lolo dia	a butterfly is beautiful
Luganda	Luganda	noun			fiteny Luganda	Luganda language
Luwo	Luwo	noun		modern written form of the Acholi and Dholuo language	mahay mamaky Luwo aho	I can read Luwo
mafana	hot	adjective			rano mafana	hot water
mafy, sarotra	hard	adjective			mafy, sarotra ity	it is hard
mahafantatra	know	verb			mahafantatra azy aho	I know her
mahandro	cook	verb			mandrahoa vary kely	cook a little rice
mahantra	poor	adjective			firenena mahantra	a poor country
mahantra	bum	noun			mahantra marobe	large bum
mahantra	indigent	noun			tsy manana na inona na inona ny mahantra	an indigent has nothing
mahaolona	humankind	noun			mahaolona antsika	we are humankind
mahay	can	verb		be able to	Mahay mamaky teny aho	I can read
mahazo	understand	verb			mahazo tsara ny zavatra	to understand something very well
mahita	see	verb			mahita matoatoa	to see ghosts
mahitsizoro	rectangle	noun			manana zoro efatra ny mahitsizoro	a rectangle has four angles
mailaka	email	noun			avoahy ho soratra ny mailaka	print the email
maily	mile	noun			folo maily	ten miles
main-tany	dry season	noun			tonga ny main-tany	the dry season has arrived
maina	dry	adjective			tany maina	dry land
maina	dry	verb			manamaina  fitafiana	to dry clothes
maingoka	scorpion	noun			maingoka mainty	a black scorpion
mainty	black	adjective			fitafiana mainty	black cloth
maitso	green	adjective			ravina maitso	green leaf
maivana	lightweight	adjective			maivana ny boky	the book is lightweight
maizina	dark	adjective			alina maizina	dark night
Malagasy	Malagasy	noun		a language of Madagascar	Ny Malagasy	Malagasy language
malaza	famous	adjective			olo-malaza	famous person
malemy	soft	adjective			mofo malemy	soft bread
mamaky	read	verb			mamaky boky	to read a book
mamalona	fold	verb			mamalona ny fitafian'ny reny	to fold mother's cloth
mamba	alligator	noun			misy rambo ny mamba	an alligator has a tail
mamita	finish	verb			mamita ny sakafo izy ireo	they will finish the food
mamono	kill	verb			mamono osy	to kill a goat
mampahery	encourage	verb			ampaherezo izy	encourage her
mampianatra	teach	verb			mampianatra marika, kajy	to teach mathematics
mampihena	reduce	verb			ahenao tsidimidimy	reduce it by five
mampihena	reduce	verb			mampihena  io ho dimy	reduce it by five
mampindrana	lend	verb			ampindramo ahy ity boky ity	lend me this book
mamy	sweet	adjective			mamy ny dite	the tea is sweet
manafoana	cancel	verb			manafoana ny fivoriana	cancel the meeting
manaikitra	bite	verb			mety manaikitra ny alika	the dog can bite
manaiky	accept	verb			manaiky azy	accept her
manakatona	close	verb			manakatona varavarana	to close the door
manala	remove	verb			manala ny kiraro manomboka eto	to remove the shoes from here
manambady	marry	verb			manambadia ahy	marry me
manampy	addition	noun			1+1=2; manampy io	1 + 1 = 2; this is addition
manampy	help	verb			manampy ny olon-drehetra ianao	you are helping everyone
manana	have	verb			manam-bola izy	she has money
mananasy	pineapple	noun			ranona mananasy	pineapple juice
manangana	raise	verb			atsangano ny tananao	raise your hand
manankarena	rich	adjective			firenena manankarena	a rich country
manao	do	verb		to make	manao zavatra izy	she is doing something
manao ahoana	hello	exclamation			manao ahoana tompoko	hello sir
manasa	wash	verb			manasa tavoahangy	to wash the bottles
manasa	wash	verb			manasa fitafiana	wash clothes
mandefa	deliver	verb		send to someone	andefaso vola aho	deliver money to me
mandefa	send	verb			andefaso aho	send me
mandeha	walk	verb			mandeha miadana	to walk slowly
mandeha	go	verb			mandeha any an-tsekoly	to go to school
mandidy	cut	verb			mandidy roa  ny mofo	to cut the cake in two
mandihy	dance	verb			mandihy am-pifaliana	to dance with joy
mandoa vola	pay	verb			mandoa vola aho	I will pay
mandraraka	pour	verb			mandraraka rano	pour water
mandrava	destroy	verb			ravao ny zavatra rehetra	destroy everything
mandray	take	verb			mandray fanafody	to take medicine
mandre	hear	verb			mandre ny kiririoka izy	she heard the whistle
manendy	bake	verb			manendy mofo	bake bread
maneno mafy	loud	adjective			anjombona maneno mafy	loud siren
manezioma	magnesium	science			misy protona 12 ny manezioma (Mg)	magnesium (Mg) has 12 protons
manga	mango	noun			masaka ny manga	the mango has ripened
manga	blue	adjective			akanjo manga	blue dress
manga antitra	indigo	adjective			fitafiana manga antitra	indigo cloth
mangahazo	cassava	noun			akondro manta sy mangahazo	plantain and cassava
mangalatra	steal	verb			mangalatra sy mandrava	steal and destroy
mangatsiaka	cold	adjective			rano mangatsiaka	cold water
mangatsiaka	freezing	adjective		temperature	mangatsiaka amin'ny alina	night is freezing
mangidy	bitter	adjective			fanafody mangidy	bitter medicine
mangina	silence	noun			mangina, mangina!	silence, silence!
mangiran-dratsy	dawn	noun			hianinga eto iska raha vao mangiran-dratsy	we will leave here at dawn
mangotraka	boil	noun			manahirana ny mampangotraka	a boil is painful
manidina	fly	verb			manidina eny amin'ny lanitra	to fly into the sky
manify	thin	adjective			kitay manify	thin stick
manify	thin	adjective			tapakazo manify	thin stick
manisa	count	verb			manisa vola	count money
mankahala, tsy tia	hate	verb			mankahala, tsy tia ny hakamoana	to hate laziness
mankahery	encourage	verb			mankahery azy	encourage her
manokatra	open	verb			manokatra varavarana aho	I open the door
manomboka	from	preposition			mandehana manomboka eto	go from here
manomboka	start	verb			manomboka aloha	to start early
manome	give	verb			omeo azy ny rano	give the water to him
manome	owe	verb			manome anao aho	I owe you
manontany	ask	verb			anontanio Kofi	to ask Kofi
manoratra	write	verb			manoratra taratasy	to write a letter
manorina	build	verb			manorina trano	build a house
manosika	push	verb			manosika ny fiara vaventy	to push the lorry
maraina	morning	noun			maraina be	early morning
maraina	sunrise	noun			manomboka maraina hatramin'ny hariva	from sunrise to sunset
marary	patient	noun			matory eto ny marary	the patients sleep here
marika	sign	noun			mariky ny fanantenana	a sign of hope
marika	mathematics	noun			mampianatra marika izy	she teaches mathematics
marika	symbol	noun			mariky ny fahefana	symbol of power
marin-koditra	goosebumps	noun			marin-koditra aho	I have got goosebumps
maritoa	hammer	noun			maritoa sy fantsika	hammer and nail
Martsa	March	noun			31 andro ny volana Martsa	March has 31 days
maso	eye	noun			maso sy volomaso	eye and eyebrow
masoandro	sun	noun			mamirapiratra ny masoandro	the sun is shining
matanjaka	strong	adjective			vehivavy matanjaka	a strong woman
matavy	fat	adjective			takolaka matavy	fat cheeks
matoatoa	ghost	noun			mahita matoatoa aho	I see a ghost
matory	sleep	verb			matory amin'ny alina	to sleep at night
maty	die	verb			maty tanora tao amin'ny tantara	to die young in the play
mavesatra	heavy	adjective			mavesatra io	it is heavy
mavo	yellow	adjective			saina mavo	yellow flag
May	May	noun			31 andro ny volana May	May has 31 days
mena	red	adjective			molotra mena	red lips
menaka zavamaniry	vegetable oil	noun			mapiasà, enaka zavamaniry raha manendy trondro	use vegetable oil to fry fish
metaly	metal	noun			satroka metaly	hat of metal
metatra	metre	noun		length metric; meter (American English)	folo metatra	ten metres
miadana	slowly	adverb			mandehana miadana	walk slowly
miadana	slowly	adverb			mandeha miadana	walk slowly
mianatra	learn	verb			mianatra fiteny	they learn a language
miandry	wait	verb			miandry vetivety	to wait a bit
mianika	climb	verb			mianika tendrombohitra	to climb mountains
mianjera	stumble	verb			mianjera izy	she stumbled
mianjera	fall	verb		move downward	niajera avy eny amin'ny tafon-trano ny tady	a rope fell from the roof of the house
mianjera	stumble	verb			nianjera izy	she stumbled
miantso	call	verb			miantso ilay zaza lahy	to call the boy
miantsoantso	shout	verb			miantsoantso fanampiana	to shout for help
miarahaba	greet	verb			arahabao i Ama	greet Ama
miaraka amin'	with	conjunction			Kofi miaraka amin'i Ama	Kofi with Ama
miaramila	soldier	noun			mandeha  an-tongotra ny miaramila	the soldiers are marching
miaro	protect	verb			miarova anay	protect us
miasa	work	verb			miasa mafy	to work hard
midina	down	adverb			mandehana midina	go down
mieritreritra	think	verb			mieritreritra aho fa....	I think that ...
mieritreritra	plan	verb			tsy mahaeritreritra ny loha iray	one head does not plan
mievina	sneeze	verb			mievina mafy	to sneeze loudly
mifantina	cast	noun			mifantina ho an'ny horonantsary	cast of a film
mifoha	rise	verb			mifoha amin'ny enina ora maraina	to rise at six in the morning
mihaona	meet	verb			any an-trano mihaona amiko	meet me at home
mihazakazaka	run	verb			mihazakazaka toy ny	to run like a hare
mihinana	eat	verb			mihinana ny zavatra rehetra	to eat everything
mihira	sing	verb			mihira hira tsara	to sing a sweet song
mihomehy	laugh	verb			mihomehy izy	he is laughing
mijanona	stop	verb			ajanony ny tabataba	stop making noise
mijanona	stop	noun			fijanonan'ny fiara fitateram-bahoaka	bus stop
mijoro	stand	verb			mijoro mahitsy	to stand slowly
mikasa	plan	verb			tsy mikasa ny loha iray	one head does not plan
mikasika	touch	verb			mikasika ny volony	to touch her hair
mila	want	verb			mila boky efatra aho	I want four books
mila	need	verb			mila fianakaviana	to need family
milalao	play	verb			milalao izahay	we are playing
milaza	tell	verb			milaza tantara izy	he is telling the story
mindram-bola	loan	noun			mila mindram-bola aho	I need a loan
mindrana	borrow	verb			mindrana vola	borrow money
mindrana	borrow	verb			mindram-bola	borrow money
mindrana	lend	verb			ampindramo ahy io boky io	lend me this book
minitra	minute	noun			dimy minitra	five minutes
mino	believe	verb			minoa an'i Kofi	believe Kofi
mioroka	smell	verb			mioroka voninkazo	to smell the flowers
mipetraka	sit	verb			mipetraka eto	to sit here
mipoaka andro	daybreak	noun			mipoaka andro  sy  mody masoandro	daybreak and nightfall
miray	mate	verb			miray ny biby	the animals are mating
miresaka	talk	verb			miresaka be loatra	to talk too much
misambotra	catch	verb			sambory ny baolina	catch the ball
misaotra	thank you	exclamation			misaotra indrindra	thank you very much
misaotra	thank	verb			misaotra ny rainao	to thank your Father
misintona	pull	verb			misintona ny tady	to pull the rope
misotro	drink	verb			misotro rano	to drink water
mitahiry	keep	verb			tahirizo ny famerim-bola	keep the change
mitambatra	join	verb			teny mitambatra no manome fehezanteny	words join together to make sentences 
mitambatra	join	verb			teny mitambatra n manome fehezan-teny	words join together to make sentences 
miteny	speak	verb			miteny ny marina	to speak the truth
miteny	say	verb			miteny eny aho	I say yes
mitomany	cry	verb			mitomany matetika (foana)	to cry each time
mitombo	grow	verb			mitombo ilay zaza	the child has grown
mitombo	increase	verb			mitombo ny halatra	burglary is increasing
mitombo isa	increase	verb			mitombo isa ny mpangalatra	burglary is increasing
mitondra	carry	verb			mitondra boky	carry the book
mitondra	bring	verb			hitondra boky izy	he will bring a book
mitsabo	heal	verb			tsaboy ny aretina	heal disease
mitsambikina	jump	verb			mitsambikina rindrina	to jump a wall
mitsangatsangana	stroll	noun			mandehana mitsangatsangana	take a stroll
mitsoka	blow	verb			mitsoka rivotra	blow air
mivarotra	sell	verb			mivarotra trano	to sell houses
miverina	return	verb			miverina any an-trano	to return home
miverina	return	verb			miverina ao an-trano	to return home
mividy	buy	verb			mividy zavatra	to buy something
mividy	purchase	verb			mividy zavatra vitsivitsy	purchase a few things
mividy	purchase	verb			mividy zavatra vitsivitsy aho	purchase a few things
mizara	divide	verb		separate into parts	mizara mofo	divide the bread
mizara	share	verb			zarao ny sakafo	share the food
mizara	split	verb			zarao roa	split in two
mofo	bread	noun			mofo malemy	soft bread
mofomamy	cake	noun			hihinana mofo mamy isika	we will eat the cake
mofomamy	cake	noun			hihinana  ilay mofomamy isika	we will eat the cake
moka	mosquito	noun			nokaikerin'ny moka aho	a mosquito has bitten me
molotra	lip	noun			molotra mena	red lips
monina	live	verb			monina eto izahay	we live here
mora	cheap	adjective			mora	be cheap
moron-dranomasina	beach	noun			fasika amoron-dranomasina	beach sand
mozika	music	noun			mitendry mozika	play music
mpahandro	chef	noun			Mpahandro tsara	a good chef
mpamily	driver	noun			nijanona ny mpamily	the driver has braked
mpaminany	prophet	noun			mpaminany manampahefana	powerful prophet
mpamono olona	murderer	noun			mpamono olona izy	he is a murderer
mpamorona	creator	noun			mpamorona  andriamanitra	creator god
mpamosavy	witch	noun			mpamosavy izy	she is a witch
mpamosavy	wizard	noun			mpamosavy izy	he is a wizard
mpampianatra	teacher	noun			mpampianatra aho	I am a teacher
mpampiasa	user	noun			mpampiasa firy	how many users?
mpanampy	maid	noun			mpanampy no asany	she is a maid
mpanao	make	verb			mpanao sakafo	make food
mpanao gazety	journalist	noun			mpanao gazety izahay	we are journalists
mpanazatra	coach	noun			mpanazatra ny mpilalao baolina kitra	a football team coach
mpandainga	liar	noun			mpandainga izy	she is a liar
mpandrafitra	carpenter	noun			mpandrafitra izy	he is a carpenter
mpangalatra	thief	noun			tsy mpangalatra izy	he is not a thief
mpanjaka	king	noun			mpanjaka izy	he is a king
mpanjakavavy	queen	noun			mpanjakavavy izy	she is a queen
mpanjono	fisherman	noun			mpanjono izy	he is a fisherman
mpanolana zaza	pedophile	noun			mpanolana zaza izy	he is a pedophile
mpanonta	printer	noun			mpanonta boky	book printer
mpanoratra	writer	noun			mpanoratra aho	I am a writer
mpiady	warrior	noun			mpiady tamin'ny andro fahagola	warrior of antiquity
mpiady	warriors	noun			tonga ny mpiady	the warriors are coming
mpianatra	student	noun			mpianatra roapolo	twenty students
mpiasa	staff	noun			mpiasan'ny mpanjaka	the king's staff
mpifanolobodirindrina	neighbourhood	noun			mpifanilavodirindrina izahay	we live in the same neighbourhood
mpihaino	listener	noun			miarahaba ny mpihaino	hello listeners
mpijery	spectator	noun			mpijery	the spectators
mpiray tampo	sibling	noun			ny zanaky ny reniko di ampiray tampo amiko	my mother's child is my sibling
mpisolovava	lawyer	noun			mpisolovava efatra	four lawyers
mpitarika	chief	noun			mpitarika izy	she is a chief
mpitarika	chef	noun			mpitarika tsara	a good chef
mpitarika	leader	noun		someone who shows the way	izy no mpitarika anay	this is our leader
mpitendry mozika	musician	noun			ny mpitendry mozika	the musicians
mpitondra entana	porter	noun			mibata baoritra ny mpitondra entana	the porter carries a box
mpitondra fivavahana	priest	noun			manana torohevitra ny mpitondra fivavahana	a priest has advice
mpitondra fivavahana	bishop	noun			mpitondra fivavahana izy	she is a bishop
mpitondra hafatra	messenger	noun			tonga ny mpitondra hafatra	the messengers arrived
mpitondra teny	spokesperson	noun			mpitondra tenin'ny filoha	the chieftain's spokesperson
mpitondratena	widow	noun			mpitondratena izy	she is a widow
mpitondratena	widower	noun			mpitondratena izy	he is a widower
mpitsabo	doctor	noun			Mpitsabo izy	she is a doctor
mpitsabo mpanampy	nurse	noun			Mpitsabo mpanampy izy	she is a nurse
mpitsara	judge	noun			mpitsara fito	seven judges
mpivarotra	trader	noun			mpivarotra aho	I am a trader
na	or	conjunction			Kofi na Ama	Kofi or Ama
namana	friend	noun			namako	my friend
nefa	but	conjunction			tiako io, nefa	I like it, but
nenitoa	aunt	noun		female relative of your mother	nenitoa Ama	Aunt Ama
neona	neon	science			misy protona 10 ny neona (Ne)	neon (Ne) has 10 protons
netrona	neutron	science			manana fahana 0 ny neutrona	a neutron has a charge of 0
ngorodona	floor	noun			eo amin'ny ngorodona	on the floor
nidina	land	verb		to touch down	nidina ny fiaramanidina	the aeroplane has landed
nify	tooth	noun			nify fotsy	white tooth
Nigeria	Nigeria	noun		A country in Africa	mandehana any Nigeria	go to Nigeria
nikleosy	nucleus	science			misy protona sy netrona ny nikleosy	a nucleus contains protons and neutrons
nitrozena	nitrogen	science			misy protona 7 ny nitrozena (N)	nitrogen (N) has 7 protons
nofo	flesh	noun			nofo sy rà	flesh and blood
noho izany	so	conjunction			nahoana no izany?	why so?
nono	breast	noun			mampinono	breast milk
nosy	island	noun			nosy Seychelles	Seychelles island
Novambra	November	noun			30 andro ny volana Novambra	November has 30 days
ny	the	determiner			ny trano	the house
ny	her	possessive			ny trano ny	her house
oadray	oh	exclamation			oadray, ny anabaviko (rahavaviko)	oh my sister!
oksizena	oxygen	noun			misy oksizena  eny @ rivotra	oxygen is in air
oksizena	oxygen	science			misy protona 8 ny oksizena (O)	oxygen (O) has 8 protons
Oktobra	October	noun			30 andro ny volana Oktobra	October has 31 days
olana	issue	noun			olana vaovao	new issue
olom-pirenena	citizen	noun		a member of a country community	olom-pirenena aho	I am a citizen
olombelona	human	noun			olombelona isika	we are humans
olon-dehibe	adult	noun			olon-dehibe izy	he is an adult
olona	person	noun			olona manan-kaja	important person
olona	someone	pronoun			miditra ny olona	someone is coming
olontiako	lover	noun			nandresy lahatra ahy ny olontiako	my lover has tricked me
omaly	yesterday	adverb			tonga omaly izy	she arrived yesterday
omby	cow	noun			hena omby	cow meat; beef
ompa	diss	noun			tsy ompa izany amin'ny teny gasy	it is not a diss
ondana	pillow	noun			ondana sy fandriana	pillow and bed
ondry	sheep	noun			henan'ondry	sheep meat (i.e. mutton)
onitra	compensation	noun			efa voarainao ve ny onitrao?	have you received your compensation?
oniversite	university	noun			Oniversiten'i Legon	Legon University
onja	wave	noun			vaky ny onja	the waves are breaking
ora	hour	noun			folo ora	ten hours
orambaratra	storm	noun			orambaratra sy tselatra	storm with thunder
Oromo	Oromo	adjective			fiteny Oromo	Oromo language
orona	nose	noun			sofina sy orona	ear and nose
osy	goat	noun			osy sy ondry	a goat and a sheep
paoma	pie	noun			paoma telo	three pies
paompy	tap	noun			sokafy ny paompy	open the tap
paompy	tap	noun			manokatra paompy	open the tap
paositra	post office	noun			ho any amin'ny paositra aho	I am going to the post office
paosy	pocket	noun			tsisy na inona an inona ao anaty paosiko	nothing inside my pocket
papay	pawpaw	noun			papay sy akondro	pawpaw and banana
paraky	tobacco	noun			mifoka paraky	smoke tobacco
parasy	louse	noun			parasy amin'ny akoho	chicken lice
pejy	page	noun			sokafy ny pejy faha roa amby roapolo	open page twenty-two
penina	pen	noun			ranomainty amin'ny penina	ink in a pen
penisilihazo	pencil	noun			penisilihazo sy penina	pencil and pen
politika	politics	noun			tia politika ianao	you like politics
pôtasiôma	potassium	science			misy protona 19 amin'ny pôtasiôma (K)	potassium (K) has 19 protons
protona	proton	science			manana fahana +1 ny protona	a proton has a charge of +1
rà	blood	noun			rano sy rà	water and blood
radio	radio	noun			alefaso ny radio	switch on the radio
rahalahy	brother	noun			ny rahalahy ko tokana	my only brother
rahampitso	tomorrow	adverb			ho tonga rahampitso izy	she will arrive tomorrow
rahavavy	sister	noun			ny rahavavy ko tokana	my only sister
rahona	cloud	noun			rahona fotsy	a white cloud
rajako	monkey	noun			tia akondro ny rajako	a monkey likes bananas
ramatoa	lady	noun			Ramatoa Danso	Lady Danso
ramatoa	missus	noun			Ramatoa Clinton	Missus Clinton
ramatoa	madam	noun			ramatoa Mary	madam Mary
ramatoakely	miss	noun			ramatoa sy ramatoakely	lady and young lady
rambo	tail	noun			misy rambo ny saka	a cat has a tail
rameva	camel	noun			rameva enina	six camels
ranjo	leg	noun			ranjo mivonto	swollen leg
rano	water	noun			misotro rano ianao	you drink water
ranomainty	ink	noun			ranomainty amin'ny penina	ink in a pen
ranomasina	sea	noun			mankany andranomasina ny renirano	a river goes into a sea
ranomaso	teardrop	noun			ranomaso kely	a few teardrops
ranomaso	tear	noun			feno ranomaso ny masoko	my eyes filled with tears
rantsa-tanana	finger	noun			asehoy ahy ny rantsa-tananao	show me your finger
rantsan-tongotra	toe	noun			rantsan-tongotra sy voditongotra	toe and heel
ratsy	bad	adjective			alika ratsy	bad dog
ratsy	evil	noun			ratsy inona ity?	which evil is this?
ratsy	ugly	adjective			ratsy izany	it is ugly
ravin-damba	fabric	noun			ividiano ravin-damba aho	buy fabric for me
ravinkazo	leaf	noun			ravinkazo maitso	green leaf
ray	father	noun			ny zanaky ny raiko dia mpiray tampo amiko	my father's child is my sibling
ray amandreny	parents	noun			ray amandreniny	his parents
razambe	ancestor	noun			ny razambeko	my ancestors
refeso	measure	verb			refeso ny roa sotro feno	measure two spoonfuls
rehefa	when	conjunction		at the time	tonga izy rehefa lasa ianao	he came when you went
renirano	lake	noun			tondraka ny renirano	the lake has overflowed
renirano	river	noun			mankany andranomasina ny renirano	a river goes into a sea
reny	mother	noun			ny zanaky ny reniko dia iraitampo amiko	my mother's child is my sibling
reraka	weak	adjective			reraka aho	I am weak
rian-drano	stream	noun		small body of flowing water	miampita ny rian-drano	cross the stream
rindrina	wall	noun			mipetraha eo amin'ny rindrina	sit on the wall
