_	a	determiner			lehilahy sy vehivavy	a man and a woman
ezaka	effort	noun			ezaka tsara	a good effort
fahadisoam-panantenana	deception	noun			fahadisoam-panantenana sy fifandirana	deception and discord
fahadisoana	mistake	noun			manao fahadisoana ny olona tsirairay	everyone makes mistakes
fahafahana	freedom	noun			fahafahana sy fahamarinana	freedom and justice
fahagagana	wonder	noun			fahagagana sy fitiavana	wonder and love
fahaiza-manao	skill	noun			mananan fahaiza-manao tsara izy	she has good skills
fahaiza-manao	skill	noun			manana fahaiza-manao izy	she has good skills
fahalalahana	disposition	noun			fahafahan'ny olona	a person's disposition
fahalalana	knowledge	noun			ny fahalalana rehetra  eran-tany	all knowledge in the world
fahalemena	weakness	noun			amin'ny fahalemeny	in her weakness
fahaleovantena	independence	noun			fetin'ny fahaleovan-tena	independence day
fahamaizinana	darkness	noun			mitondra fahamaizinana ny alina	night brings darkness
fahamarinana	justice	noun			fahafahana sy fahamarinana	freedom and justice
fahana	charge	science			manana fahana miabo sy fahana miiba  ny herinaratra	electricity has positive charge and negative charge
fahantrana	poverty	noun			fahantrana sa harena	poverty or wealth
faharatsian-toetra	wickedness	noun			ny fahihiranao sy ny faharatsian-toetranao	your stinginess and your wickedness
faharesena	defeat	noun			fandresena sy faharesena	victory and defeat
faharesena	determination	noun			fandresena sy faharesena	we will do it with determination
faharetana	patience	noun			fitiavana sy faharetana	love and patience
faharetany	duration	noun			efapolo ora ny faharetany	forty-hour duration
fahasalamana	health	noun			manome fahasalamana ny sakafo	food gives health
fahavalo	rival	noun			fahavaloko izy	she is my rival
fahavalo	enemy	noun			ho reraka ny fahavalo	enemies will tire
fahaverezandrà	bleeding	noun			ajanony ny fahaverezandrà	stop the bleeding
fahazarana	habit	noun			fahazaran-dratsy	bad habit
fahefana	power	noun			hery sy fahefana	strength and power
fahendrena	wisdom	noun			hery sy fahendrena	strength and wisdom
fahitalavitra	television	noun			mandefa ny fahitalavitra	switch on the television
fakan-tsary	camera	noun			fitaratry ny fakan-tsary	lens of a camera
fako	rubbish	noun			ario ny fako	throw away the rubbish
fako	trash	noun			ario ny fako	throw away the trash
fako	junk	noun			misy fako ao amin'ny efitrano	there is junk in the room
faly	happy	adjective			andro mahafaly  anio	today is a happy day
famakiamboky	library	noun			ho any amin'ny famakiamboky isika	we will go to the library
famataranandro	clock	noun		a free-standing device which tells the time	lazao ahy ny ora eo amin'ny famataranandro	tell me the time on the clock 
famataranandro	watch	noun		a wearable device for telling the time	famataranandro kely	a small watch
fambolena	farm	noun			fambolena kakao	cocoa farm
famelan-keloka	forgiveness	noun			fitiavana, fanekena ary famelan-keloka	love, acceptance and forgiveness
famindrampo	leniency	noun			anehoy famindrampo izy	show him leniency
famonoana olona	murder	noun			fifosana sy famonoana olona	gossip and murder
famoretana	oppression	noun			famoretana izany!	such oppression!
famoronana	creation	noun			ny famoronana rehetra	all creation
famosaviana	witchcraft	noun			mampiasà famosaviana	practise witchcraft
fampianarana	education	noun			fahasalamana sy fampianarana	health and education
fampisehoana	event	noun			nanomboka ny fampisehoana	the event has started
fampitandremana	warning	noun			henoy ny fampitandremana	listen to the warning
fampitomboana	multiplication	noun			2x1=2; fampitomboana io	2 x 1 = 2; this is multiplication
fanadinana	exam	noun			mora ny fanadinana	the exam is easy
fanadinoana	forgetfulness	noun			ny fanadinoany	her forgetfulness
fanafody	medicine	noun			fanafody mangidy	bitter medicine
fanahiana	worry	noun			fanahiana maro	many worries
fanahy	soul	noun			mifaly ny fanahiko	my soul exults
fanaintainana	suffering	noun			tahotra sy fanaintainana	fear with suffering
fanaintainana	pain	noun			etony fanaintainana	the pain is here
fanajana	respect	noun			mampiseho fanajana	show respect
fanalahidy	lock	noun			fanalahidy dimy	five locks
fanalahidy	key	noun			varavarana sy fanalahidy	door and key
fanambadiana	marriage	noun			fanambadiana tsara	good marriage
fanambadiana	wedding	noun			hantrika fanambadiana izahay	we are going to a wedding
fanambaràna	revelation	noun			manana fanambaràna izy	he had a revelation
fanambarana	proclamation	noun			fanambarana ny zon'olombelona	proclamation of the rights of humankind
fanampiana	blow	noun			omeo fanampiana izy	give him a blow
fanampiana	help	noun			mila fanampiana ny olona rehetra	everyone needs help
fanantenana	hope	noun			manana fanantenana aho	I have hope
fanaratsiana	insult	noun			fanaratsiana maro	many insults
fanariam-pako	dustpan	noun			kifafa sy fanariam-pako	broom and dustpan
fanatitra	sacrifice	noun			manaova fanatitra	offer a sacrifice
fanaviana	fever	noun			misy fanaviana izy	she has a fever
fandevenana	funeral	noun			hanatrika fandevenana aho	I am going to a funeral
fandovana	inheritance	noun			takio ny fandovanao	claim your inheritance
fandresena	victory	noun			fandresena sy faharesena	victory and defeat
fandriampahalemana	peace	noun			mila fandriampahalemana aho	I want peace
fandriana	bed	noun			matory eo am-pandriana	sleep on the bed
fandrosoana	development	noun			fandrosoana tsara	good development
fandrosoana	progress	noun			mahita fandrosoana aho	I see progress
fanelingelenana	bother	noun			fanelingelenana be loatra	too much bother
fanetren-tena	humility	noun			naneho fanetren-tena ianao	you show humility
faneva	flag	noun			faneva mavo	yellow flag
fangatahana	application	noun			fangatahana asa	job application
fanindronana	syringe	noun			fanindronan'ny mpitsabo mpanampy	a nurse's syringe
fanisanandro	calendar	noun			fanisanadro vaovao	a new calendar
fanjaitra	needle	noun			kofehy sy fanjaitra	string and needle
fanjakana	state	noun			jereo ny fanjakana mampalahelontsika	look at our pitiful state
fanjakana	realm	noun			vaovaon'ny fanjakna	news of the realm
fankahalana	hatred	noun			tsy misy fanafana ny fankahalana	hatred has no cure
fankaherezana	encouragement	noun			fankaherezana sy fifaliana	encouragement and joy
fanolorana	preface	noun			teny fanolorana	book preface
fanomanana	preparation	noun			manao fanomanana	make preparation
fanomezana	gift	noun			fanomezana tsara	a good gift
fanontaniana	question	noun			manana fanontaniana aho	I have a question
fantsona	pipe	noun			fantson-drano	pipe water
fantsondrano	gutter	noun			misy rano ao amin'ny fantsondrano	there is water in the gutter
farany	end	noun			tonga ny farany	the end has come
faribolana	circle	noun		a circle has an infinite number of angles	faribolana telo	three circles
fasian-drano	pail	noun			fasian-drano sy savony	pail and soap
fasika	sand	noun			fasika amorondrano	beach sand
fatana	stove	noun			fatana mandeha amin'ny entona	gas stove
fe	buttocks	noun			fe lehibe	big buttocks
Febroary	February	noun			misy 28 na 29 andro ny volana febroary	February has 28 or 29 days
fefy	fence	noun			ao ambadiky ny fefy	behind a fence
fehezanteny	sentence	noun			teny mitambatra no manome fehezanteny	words join to make sentences
fehikibo	belt	noun			fehikibo mainty	black belt
fehitenda	headscarf	noun			afatory ny fehitenda	tie a headscarf
feno	full	adjective			tavindrano feno	full bucket
feo	voice	noun			ampidino ny feonao	soften your voice
feo	sound	noun			feo mafy	loud sound
fery	sore	noun			milelakany feriny ny alika	the dog is licking its sore
fety	party	noun			handeha ho any amin'ny fety aho	I am going to a party
fiaina	breath	noun			tazony ny fiainanao, makà aina	collect your breath; rest
fiainana	life	noun			iaino tsara ny fiainanao	live your life well
fialofana	refuge	noun			fialofanay	our refuge
fianakaviana	family	noun			fianakaviana vaovao	new family
fiangonana	service	noun			fiangonana fisaorana	thanksgiving service
fiangonana	church	noun			mandehana any am-piangonana	go to church
fianianana	oath	noun			fianianana lehibe	great oath
fiantsonana	station	noun			fiantsonan'ny fiaran-dalamby	train station
fiara	car	noun			mitondra fiara	drive a car
fiara fitateram-bahoaka	bus	noun			fijanonan'ny fiara fitateram-bahoaka	bus stop
fiara fitateram-bahoaka	bus	noun			fijanona'ny fiara fitateram-bahoaka	bus stop
fiara vaventy	lorry	noun			fijanonan'ny fiara vaventy	lorry stop
fiarabe	van	noun			fenoy ny fiarabe	board a van
fiarakaretsaka	taxi	noun			iantsoy fiarakaretsaka aho	call me a taxi
fiaramanidina	aeroplane	noun			fiaramanidina roa	two aeroplanes
fiaramanidina	plane	noun		aeroplane, airplane	miakara ao @ fiaramanidina	board a plane
fiaran-dalamby	train	noun			fiaran-dalamby vaovao	new train
fiarovan-doha	headgear	noun			anaovy ny fiarovan-doha	put on headgear
fiarovana	protection	noun			omeo fiarovana aho	give me protection
fifaliana	happiness	noun			tonga ny fifaliana	happiness has arrived
fifaliana	happy	adjective			androm-pifaliana androany	today is a happy day
fifamaliana	quarrel	noun			fifamaliana lehibe	a big quarrel
fifamaliana	squabbles	noun			fifamaliana sy fanaratsiana	squabbles and insults
fifandirana	friction	noun			nisy fifandirana teo aminay	friction came between us
fifandirana	discord	noun			lainga sy fifandirana	lies and discord
fifandrafiana	rivalry	noun			ajanony ny fifandrafiana	stop the rivalry
fifandraisana	link	noun			fifandraisana amin'ny aterineto	Internet link
fifaninanana	competition	noun			fifaninanana adibaolina	football competition
fifaninanana	race	noun			fifaninanana hazakazaka	run a race
fifankahalana	enmity	noun			fankahalana lehibe	great enmity
fifidianana tavan'olona	favouritism	noun			ajanony ny fifidianana tavan'olona	stop the favouritism
fifosana	gossip	noun			tsy tsara ny fifosana	gossip is not good
fihobiana	exultation	noun			hiram-pihobiana	songs of exultation
