ibaba	wing	noun			inuma ifite amababa	a dove has wings
ibendera	flag	noun			ibendera rya umuhondo	yellow flag
ibere	breast	noun			amashereka ya ibere	breast milk
ibigohe	eyebrow	noun			ijisho na ibigohe	eye and eyebrow
ibigoli	corn	noun			ibigoli n'ubunyobwa	corn and groundnuts
ibiro	office	noun			ibiro bya mama	the office of my mother
ibirusti	vomit	noun			ibirutsi bya imbwa	dog's vomit
ibiryo	food	noun			kurya ibiryo	eat food
ibitaro	hospital	noun			jya ku ibitaro	go to a hospital
ibitekerezo	thought	noun			ibitekerezo byawe	your thoughts
ibumba	clay	noun			ivaze y'ibumba	clay vase
ibura	scarcity	noun			ibura rya amazi	scarcity of water
ibuye	stone	noun			amabuye na sima	stones and cement
ibyaremwe	creation	noun			ibyaremwe byose	all creation
ibyatsi	grass	noun			inka irya ibyatsi	a cow chews grass
ica	kill	verb			kuica ihene	to kill a goat
icara	sit	verb			icara hano	to sit here
icumbi	lodge	noun			ugume ku icumbi akanya gato	stay at the lodging for a while
icumi	ten	adjective		the number 10	amacupa icumi	ten bottles
icumu	spear	noun			bamuhinguranyije na icumu	they pierced him with a spear
icunga	orange	noun			amacunga atatu	three oranges
icupa	bottle	noun			amacupa atanu	five bottles
icyatsi	green	adjective			ikibabi cy'icyatsi	green leaf
icyayi	tea	noun			icyayi kiraryohereye	the tea is sweet
icyenda	nine	adjective		The number 9	amacupa icyenda	Nine bottles
icyobo	pit	noun			gucukura icyobo	dig a pit
icyondo	mud	noun			kozaho icyondo	wash the mud
Icyongereza	English	noun			mvuga Icyongereza	I speak English
icyozere	hope	noun			mfite ikizere	I have hope
icyubahiro	respect	noun			erekana icyubahiro	show respect
icyuma	knife	noun			kutyaza icyuma	sharpen a knife
icyuma	metal	noun			ingofero ya icyuma	hat of metal
icyumba	room	noun			aramye mu cyumba	she is sleeping in the room
icyumba cy'uburiri	bedroom	noun			inzu ifite ibyumba bibiri by'uburiri	the house has two bedrooms
icyumweru	week	noun			iki icyumweru	this week
idirishya	window	noun			kingura idirishya	open the windows
idoma	indigo	adjective			umwenda w'idoma	indigo cloth
idoma	violet	adjective			indabo z'idoma	violet flowers
idorojeni	hydrogen	noun			imodoka itwarwa na idorojeni	hydrogen car
idorojeni	hydrogen	science			idorojeni (H) igira poroto 1	hydrogen (H) has 1 proton
ifarasi	horse	noun			ifarasi y'umweru	white horse
ifi	fish	noun			ifi ikaranze	fried fish
ifirimbi	whistle	noun			kuvuza ifirimbi	play the whistle
ifoto	picture	noun			ifoto nziza	beautiful picture
ifu	flour	noun			ifu ya ibigori	corn flour
ifurusheti	fork	noun			ifurusheti na icyuma	fork and knife
iga	learn	verb			kuiga ururimi	they learn a language
igaraji	garage	noun			igaraji rya imodoka	car garage
igare	bicycle	noun			igare rishya	new bicycle
Igbo	Igbo	noun			ururimi rwa Igbo	Igbo language
igi	egg	noun			igi ry'inkoko	chicken egg
igiceri	coin	noun			ibiceri bine	four coins
igiciro	price	noun			igiciro ni angahe?	how much is the price?
igicu	cloud	noun			igicu cy'umweru	a white cloud
igicuba	jar	noun			igicuba birindwi	seven jars
igicucu	shade	noun			nicaye mu gicucu	I am sitting under the shade
igifu	stomach	noun			igifu kinini	big stomach
Igihawusa	Hausa	noun			ururimi rw'Igihawusa	Hausa language
igihe	moment	noun			igihe kirageze	the moment is up
igihe	time	noun			igihe kirarangiye	the time is up
igihe cy'izuba	dry season	noun			igihe cy'izuba cyaje	the dry season has arrived
igihemu	deception	noun			igihemu no kunyuranya	deception and discord
igihimbano	falsification	noun			ibinyoma na ibihimbano	lies and falsifications
igihu	mist	noun			igihu cya mu gitongo	morning mist
